epoch,accuracy,loss,val_accuracy,val_loss
0,0.40926507115364075,1.5113062858581543,0.45967602729797363,1.397591233253479
1,0.42206549644470215,1.4886467456817627,0.46385645866394043,1.39700186252594
2,0.4236328899860382,1.4806745052337646,0.46281135082244873,1.408611536026001
3,0.4274643063545227,1.4729530811309814,0.48580387234687805,1.3681678771972656
9,0.42977187037467957,1.460211992263794,0.4774429500102997,1.3685921430587769
11,0.4386102259159088,1.4483155012130737,0.48197177052497864,1.3676395416259766
12,0.4433995187282562,1.435622215270996,0.4845845699310303,1.3449926376342773
13,0.43887147307395935,1.438408374786377,0.4831910729408264,1.3437246084213257
14,0.447361558675766,1.4278098344802856,0.49590665102005005,1.325677514076233
19,0.44932079315185547,1.4170513153076172,0.48806828260421753,1.331949234008789
20,0.4539794623851776,1.4183663129806519,0.4884166419506073,1.3348289728164673
21,0.4614245891571045,1.411167025566101,0.5075770616531372,1.3041164875030518
22,0.46098920702934265,1.3976764678955078,0.5023515224456787,1.2995349168777466
23,0.46077150106430054,1.3922107219696045,0.5039191842079163,1.2914105653762817
24,0.465604305267334,1.3871935606002808,0.51349937915802,1.2831895351409912
25,0.46630093455314636,1.3800835609436035,0.5033966302871704,1.2862858772277832
26,0.47230929136276245,1.3736882209777832,0.4953840672969818,1.3191183805465698
27,0.4740073084831238,1.371861219406128,0.5051384568214417,1.2795484066009521
28,0.475139319896698,1.3699142932891846,0.5056610107421875,1.2708442211151123
29,0.47653257846832275,1.3576399087905884,0.5157638192176819,1.2689876556396484
